          18
       40500
 non-polarized
    2.71550000    2.71550000    0.00000000
    2.71550000    0.00000000    2.71550000
    0.00000000    2.71550000    2.71550000
rcell x   rcell y   rcell z   i   j   H   S
  -10.8620  -10.8620  -10.8620      17      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17      13   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17      14    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      17      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      17      16   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17      17   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17      18   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       5   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      18       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18      10   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      18      12   -0.00000000    0.00000000    0.00000000
